                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56132,                0.31289,                0.83321,                0.99022,                0.99453,                0.99427,                0.89753,                0.49476,                0.25857,                0.82689,              0.0006634,              0.0006634,              0.0006634
                     37,                0.55597,                0.30992,                 0.8295,                0.99144,                0.99571,                 0.9949,                0.89283,                0.50597,                0.25956,                0.82692,              0.0006535,              0.0006535,              0.0006535
                     38,                0.55877,                0.31134,                0.83172,                0.99144,                0.99468,                0.99445,                0.89384,                0.50018,                0.25905,                0.82568,              0.0006436,              0.0006436,              0.0006436
                     39,                0.55438,                0.30898,                0.83009,                0.99369,                0.99591,                0.99472,                  0.894,                0.49831,                0.25839,                0.82418,              0.0006337,              0.0006337,              0.0006337
                     40,                0.55206,                0.30677,                0.82931,                 0.9959,                0.99421,                0.99473,                0.89137,                0.50773,                0.25649,                0.82685,              0.0006238,              0.0006238,              0.0006238
                     41,                 0.5468,                0.30262,                0.82659,                0.99316,                0.99345,                0.99433,                 0.8957,                0.50908,                0.25538,                0.82602,              0.0006139,              0.0006139,              0.0006139
                     42,                0.54333,                0.30283,                0.82767,                0.99305,                0.99376,                0.99443,                0.88931,                0.51793,                0.25718,                0.82725,               0.000604,               0.000604,               0.000604
                     43,                0.54996,                0.30468,                0.82765,                 0.9937,                0.99427,                0.99449,                0.89279,                0.50829,                0.25479,                0.82539,              0.0005941,              0.0005941,              0.0005941
                     44,                0.54461,                0.30159,                0.82764,                0.99367,                0.99468,                0.99462,                0.89649,                 0.4977,                0.25052,                0.82337,              0.0005842,              0.0005842,              0.0005842
                     45,                0.53762,                0.29782,                0.82553,                0.99296,                0.99427,                0.99457,                0.90077,                0.49052,                 0.2504,                0.82327,              0.0005743,              0.0005743,              0.0005743
                     46,                0.54442,                0.29805,                0.82825,                0.99347,                0.99531,                0.99436,                0.89961,                0.49118,                0.24872,                0.82413,              0.0005644,              0.0005644,              0.0005644
                     47,                0.53715,                0.29605,                 0.8257,                0.99306,                0.99495,                 0.9947,                0.90234,                0.49113,                0.24764,                0.82505,              0.0005545,              0.0005545,              0.0005545
                     48,                0.53487,                0.29404,                 0.8244,                0.99364,                 0.9955,                 0.9942,                0.89437,                0.50289,                0.24921,                0.82418,              0.0005446,              0.0005446,              0.0005446
                     49,                0.53329,                0.29538,                0.82665,                0.99347,                0.99617,                 0.9946,                  0.902,                  0.486,                0.24285,                0.82096,              0.0005347,              0.0005347,              0.0005347
                     50,                0.53559,                0.29296,                0.82582,                0.99256,                0.99468,                0.99485,                0.90285,                0.48198,                  0.245,                0.82188,              0.0005248,              0.0005248,              0.0005248
                     51,                0.53401,                0.29298,                0.82542,                0.99305,                0.99416,                0.99486,                0.89941,                0.49298,                0.24647,                0.82337,              0.0005149,              0.0005149,              0.0005149
                     52,                0.53357,                0.29226,                0.82778,                0.99071,                0.99591,                0.99483,                 0.9014,                0.48629,                0.24734,                0.82293,               0.000505,               0.000505,               0.000505
                     53,                0.52746,                0.28852,                0.82327,                0.99368,                0.99468,                0.99438,                0.90485,                 0.4741,                0.24325,                 0.8213,              0.0004951,              0.0004951,              0.0004951
                     54,                0.52539,                 0.2877,                0.82278,                0.99347,                0.99539,                0.99446,                0.90251,                0.47635,                0.24258,                0.82015,              0.0004852,              0.0004852,              0.0004852
                     55,                0.52705,                0.28671,                0.82585,                  0.993,                0.99795,                0.99449,                0.90595,                0.47944,                 0.2389,                0.82124,              0.0004753,              0.0004753,              0.0004753
                     56,                0.52937,                0.28951,                0.82523,                0.99307,                0.99657,                0.99447,                0.90308,                0.48011,                0.24102,                0.82141,              0.0004654,              0.0004654,              0.0004654
                     57,                0.52288,                0.28612,                0.82241,                0.99266,                0.99641,                 0.9946,                0.89862,                0.49178,                 0.2411,                0.82315,              0.0004555,              0.0004555,              0.0004555
                     58,                0.52619,                0.28489,                0.82653,                0.99367,                0.99509,                0.99489,                0.90377,                0.48599,                0.23967,                0.82191,              0.0004456,              0.0004456,              0.0004456
                     59,                0.51817,                0.28294,                0.82238,                 0.9948,                0.99427,                0.99489,                0.90515,                0.48037,                0.23763,                 0.8213,              0.0004357,              0.0004357,              0.0004357
                     60,                0.52427,                0.28478,                0.82633,                0.99485,                0.99386,                0.99489,                0.90707,                0.47748,                0.23684,                 0.8208,              0.0004258,              0.0004258,              0.0004258
                     61,                0.52039,                 0.2827,                 0.8247,                0.99468,                0.99362,                0.99479,                0.90795,                0.47675,                 0.2356,                0.82076,              0.0004159,              0.0004159,              0.0004159
                     62,                 0.5172,                0.28115,                0.82157,                0.99428,                0.99567,                0.99441,                0.90535,                0.47876,                0.23634,                0.81998,               0.000406,               0.000406,               0.000406
                     63,                0.51952,                0.27925,                0.82444,                0.99428,                0.99536,                0.99439,                0.90521,                0.48012,                0.23767,                0.82061,              0.0003961,              0.0003961,              0.0003961
                     64,                0.51652,                0.27814,                0.82437,                0.99428,                0.99628,                0.99439,                0.90145,                0.48905,                0.23885,                0.82148,              0.0003862,              0.0003862,              0.0003862
                     65,                0.51378,                0.27643,                0.82108,                0.99448,                0.99509,                0.99441,                0.90387,                0.48535,                0.23557,                0.82088,              0.0003763,              0.0003763,              0.0003763
                     66,                0.51208,                0.27587,                0.82364,                0.99393,                0.99386,                0.99452,                0.90576,                0.48275,                0.23615,                0.82052,              0.0003664,              0.0003664,              0.0003664
                     67,                0.51312,                0.27623,                0.82129,                0.99314,                0.99509,                 0.9944,                0.90557,                 0.4801,                0.23654,                0.82079,              0.0003565,              0.0003565,              0.0003565
                     68,                0.50873,                 0.2731,                0.82173,                0.99347,                0.99534,                0.99438,                0.90529,                0.48583,                0.23694,                0.82137,              0.0003466,              0.0003466,              0.0003466
                     69,                0.51185,                0.27322,                0.82283,                0.99414,                 0.9955,                0.99438,                0.90517,                0.48425,                0.23614,                0.82105,              0.0003367,              0.0003367,              0.0003367
                     70,                0.50679,                0.27174,                0.82114,                0.99196,                0.99714,                0.99439,                  0.907,                0.47902,                0.23498,                0.82097,              0.0003268,              0.0003268,              0.0003268
                     71,                0.50819,                0.27398,                0.82242,                0.99347,                0.99557,                0.99444,                0.90597,                0.47771,                0.23418,                0.82102,              0.0003169,              0.0003169,              0.0003169
                     72,                0.50871,                0.27258,                0.82166,                0.99337,                0.99509,                0.99441,                0.90624,                0.48159,                0.23452,                0.82132,               0.000307,               0.000307,               0.000307
                     73,                 0.5063,                0.27099,                0.82031,                0.99387,                0.99532,                0.99443,                0.90607,                0.48185,                0.23459,                0.82162,              0.0002971,              0.0002971,              0.0002971
                     74,                0.50691,                0.26979,                0.82183,                0.99387,                0.99569,                0.99444,                0.90543,                0.48036,                0.23436,                0.82088,              0.0002872,              0.0002872,              0.0002872
                     75,                0.50435,                0.26796,                0.82088,                0.99428,                 0.9954,                0.99444,                0.90486,                0.47984,                0.23376,                0.82024,              0.0002773,              0.0002773,              0.0002773
                     76,                0.50113,                0.26715,                 0.8204,                0.99428,                0.99568,                0.99446,                0.90669,                0.47966,                0.23302,                0.82005,              0.0002674,              0.0002674,              0.0002674
                     77,                0.50487,                0.26709,                0.82082,                 0.9941,                0.99591,                0.99446,                0.90805,                0.47824,                0.23236,                0.81954,              0.0002575,              0.0002575,              0.0002575
                     78,                0.49643,                0.26438,                0.81955,                0.99363,                0.99591,                0.99446,                0.90914,                0.47442,                0.23125,                 0.8188,              0.0002476,              0.0002476,              0.0002476
                     79,                0.49602,                0.26324,                0.81896,                0.99387,                0.99632,                0.99446,                0.90878,                0.47438,                 0.2311,                0.81873,              0.0002377,              0.0002377,              0.0002377
                     80,                0.50193,                0.26568,                0.82011,                0.99382,                0.99632,                0.99445,                 0.9095,                0.47374,                0.23098,                0.81862,              0.0002278,              0.0002278,              0.0002278
                     81,                0.49699,                 0.2627,                0.81746,                0.99364,                0.99632,                0.99444,                0.91105,                0.47265,                0.23072,                0.81826,              0.0002179,              0.0002179,              0.0002179
                     82,                0.50117,                0.26398,                0.81977,                0.99428,                0.99549,                0.99445,                0.90968,                 0.4734,                0.23083,                0.81827,               0.000208,               0.000208,               0.000208
                     83,                0.49537,                0.26056,                0.81805,                0.99404,                0.99591,                0.99443,                0.90921,                0.47466,                 0.2309,                0.81845,              0.0001981,              0.0001981,              0.0001981
                     84,                 0.4944,                0.25952,                 0.8187,                0.99365,                 0.9955,                0.99442,                0.90967,                0.47307,                0.23033,                0.81843,              0.0001882,              0.0001882,              0.0001882
                     85,                0.49486,                0.26002,                0.81898,                0.99358,                 0.9955,                0.99442,                0.90974,                0.47148,                0.23045,                0.81843,              0.0001783,              0.0001783,              0.0001783
                     86,                0.49137,                0.25899,                0.81948,                0.99363,                 0.9955,                0.99443,                0.91033,                0.47093,                   0.23,                0.81854,              0.0001684,              0.0001684,              0.0001684
                     87,                0.49138,                0.25844,                0.81894,                0.99368,                 0.9955,                0.99442,                0.90925,                0.47163,                0.22988,                0.81861,              0.0001585,              0.0001585,              0.0001585
                     88,                0.49143,                 0.2568,                0.81867,                0.99369,                 0.9955,                0.99443,                0.90968,                0.47102,                0.22963,                0.81872,              0.0001486,              0.0001486,              0.0001486
                     89,                0.48501,                0.25533,                0.81799,                0.99372,                 0.9955,                0.99443,                0.91048,                0.46991,                0.22946,                0.81859,              0.0001387,              0.0001387,              0.0001387
                     90,                0.49052,                0.25603,                0.81702,                 0.9937,                 0.9955,                0.99443,                0.91109,                0.46908,                0.22893,                0.81843,              0.0001288,              0.0001288,              0.0001288
                     91,                0.48246,                0.24928,                 0.8163,                0.99354,                 0.9955,                0.99445,                0.91014,                0.46815,                0.22892,                 0.8184,              0.0001189,              0.0001189,              0.0001189
                     92,                0.47263,                0.24379,                0.81272,                0.99346,                0.99508,                0.99445,                0.90993,                0.46784,                0.22914,                0.81849,               0.000109,               0.000109,               0.000109
                     93,                0.46794,                 0.2409,                0.81326,                0.99308,                0.99468,                0.99446,                0.91008,                0.46777,                0.22908,                0.81847,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.46547,                0.23995,                0.81107,                0.99386,                0.99416,                0.99446,                 0.9101,                 0.4674,                0.22879,                0.81853,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.46276,                0.23667,                0.81206,                0.99363,                0.99386,                0.99446,                0.90989,                0.46763,                0.22909,                0.81863,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.46157,                 0.2369,                0.81111,                0.99373,                0.99386,                0.99447,                0.90988,                0.46765,                0.22943,                0.81873,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.46172,                0.23675,                0.81031,                 0.9938,                0.99386,                0.99447,                0.90939,                0.46775,                0.22971,                0.81889,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.45949,                0.23443,                0.81062,                0.99359,                0.99386,                0.99448,                0.90937,                0.46792,                0.22965,                0.81882,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.45961,                0.23357,                0.81177,                 0.9936,                0.99386,                0.99448,                0.90909,                 0.4679,                0.22976,                0.81881,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.45818,                0.23344,                0.80999,                0.99362,                0.99386,                0.99448,                 0.9094,                0.46811,                0.22989,                0.81885,               2.98e-05,               2.98e-05,               2.98e-05
